Name,Alternating,Name Rank,DT Name,DT Rank,DT Notation,Conway Name,Conway Notation,Two-Bridge Notation,Fibered,Gauss Notation,PD Notation,Crossing Number,Tetrahedral Census Name,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Braid Notation,Signature,Nakanishi Index,Super Bridge Index,Thurston-Bennequin Number,Arc Index,Stick Number,Tunnel Number,Morse-Novikov Number,Alexander,Jones,Conway,HOMFLY,Kauffman,A-Polynomial,Genus-4D,Genus-4D (Top.),Crosscap Number-4D,Crosscap Number-4D (Top.),Concordance Genus,Concordance Genus (Top.),Concordance Order (Alg.),Concordance Order,Concordance Order (Top.),Determinant,Seifert Matrix,Rasmussen s,Ozsvath-Szabo tau,Volume,Max. Cusp Volume,Longitude Translation,Meridinal Translation,Longitude Length,Meridian Length,Other Short Geodesics,Symmetry Type,Full Symmetry Group,Chern-Simons Invariant,Arf Invariant,Turaev Genus,Signature function,Monodromy,Small or Large,Positive Braid,Positive,SQ-Positive,Q-Positive,Pos. Braid Notation,Pos. PD Notation,SQ-Postive Braid,Q-Positive Braid,Clasp Number-4D,Width,Torsion Numbers,Clasp Number,L-space,Nu,Epsilon,Quasialternating,Almost Alternating,Adequate,Montesinos Notation,Boundary Slopes,Pretzel Notation,Double Slice Genus,Unknotting Number-Algebraic,KH Unred Z Poly,KH Red Z Poly,KH Red Q Poly,KH Red Mod2 Poly,KH Odd Red Z Poly,KH Odd Red Q Poly,KH Odd Red Mod2 Poly,HFK Polyomial,graph
4_1,Y,3,4a_1,3,[4; 6; 8; 2],4_1,[22],5/2,Y,{-1; 2; -3; 1; -4; 3; -2; 4},[[4;2;5;1];[8;6;1;5];[6;3;7;4];[2;7;3;8]],4,k21,1,1,2,2,3,4.0,{1;-2;1;-2},0,1,3,[-3][-3],6,7,1.0,0.0,1-3*t+t^2,t^(-2)-t^(-1)+ 1-t+ t^2,1-z^2,(v^(-2)-1+v^2)+(-1)*z^2,(-a^(-2)-1-a^2)*z^(0)+(-a^(-1)-a)*z^(1)+(a^(-2)+2+a^2)*z^(2)+(a^(-1)+a)*z^(3),table of A-polys,1,1,2.0,2.0,1,,2,2,2,5,[[ 1; 0]; [ -1; -1]],0,0,2.029883213,1.732050808,(3.464101615; 0),(0; 1),3.464101615,1,,fully amphicheiral,D4,0,1,0,{0},aB,Small,N,N,N,N,does not exist,does not exist,does not exist,does not exist,1.0,8.0,{{2;{5}};{3;{4;4}};{4;{3;15}};{5;{11;11}};{6;{8;40}};{7;{29;29}};{8;{21;105}};{9;{76;76}}},1,No,{0;0},0,Y,N,Y,K(2/5),{-4;0;4},P(1;1;2),2,1,t^(-2) q^(-5) + t^(-1) q^(-1) + q^(-1) + q + t q + t^(2) q^(5) + t^(-1) q^(-3) T^(2) + t^(2) q^(3) T^(2),t^(-2) q^(-4) + t^(-1) q^(-2) + 1 + t q^(2) + t^(2) q^(4),t^(-2) q^(-4) + t^(-1) q^(-2) + 1 + t q^(2) + t^(2) q^(4),t^(-2) q^(-4) + t^(-1) q^(-2) + 1 + t q^(2) + t^(2) q^(4),t^(-2) q^(-4) + t^(-1) q^(-2) + 1 + t q^(2) + t^(2) q^(4),t^(-2) q^(-4) + t^(-1) q^(-2) + 1 + t q^(2) + t^(2) q^(4),t^(-2) q^(-4) + t^(-1) q^(-2) + 1 + t q^(2) + t^(2) q^(4),1a^(-1)m^(-1)+ 3a^(0)m^(0)+ 1a^(1)m^(1),"{'directed': False, 'multigraph': False, 'graph': {}, 'nodes': [{'x': [3.0], 'id': 0}, {'x': [3.0], 'id': 1}, {'x': [3.0], 'id': 2}, {'x': [3.0], 'id': 3}, {'x': [2.0], 'id': 4}, {'x': [2.0], 'id': 5}], 'links': [{'edge_attr': (0.12944943670387588, 1.0), 'source': 0, 'target': 3}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 0, 'target': 2}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 0, 'target': 4}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 4}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 2}, {'edge_attr': (0.12944943670387588, 1.0), 'source': 1, 'target': 3}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 2, 'target': 5}, {'edge_attr': (0.12944943670387588, 1.0), 'source': 3, 'target': 5}]}"
12n_242,N,2332,12n_242,2332,[4; 8; -16; 2; -18; -20; -22; -24; -6; -10; -12; -14],,[7;-2 1;2],,Y,{1; -2; 3; -1; -4; 5; 2; -3; -6; 7; -8; 9; -10; 11; -12; 4; -5; 6; -7; 8; -9; 10; -11; 12},[[1;5;2;4];[3;9;4;8];[16;6;17;5];[7;3;8;2];[18;10;19;9];[20;12;21;11];[22;14;23;13];[24;16;1;15];[6;18;7;17];[10;20;11;19];[12;22;13;21];[14;24;15;23]],12,k31,5,5,2,3,3,,{1;2;2;1;1;2;2;2;2;2;2;2},-8,1,,[9][-18],9,[9;10],1.0,0.0,1-t+t^3-t^4+t^5-t^6+t^7-t^9+t^10,t^5+ t^7-t^11+ t^12-t^13,1+12*z^2+31*z^4+27*z^6+9*z^8+z^10,(9*v^10-11*v^12+3*v^14)+(39*v^10-31*v^12+4*v^14)*z^2+(57*v^10-27*v^12+v^14)*z^4+(36*v^10-9*v^12)*z^6+(10*v^10-v^12)*z^8+(v^10)*z^10,(-3*a^(-14)-11*a^(-12)-9*a^(-10))*z^(0)+(a^(-17)+a^(-15)+11*a^(-13)+11*a^(-11))*z^(1)+(a^(-16)+4*a^(-14)+42*a^(-12)+39*a^(-10))*z^(2)+(-31*a^(-13)-31*a^(-11))*z^(3)+(-a^(-14)-58*a^(-12)-57*a^(-10))*z^(4)+(27*a^(-13)+27*a^(-11))*z^(5)+(36*a^(-12)+36*a^(-10))*z^(6)+(-9*a^(-13)-9*a^(-11))*z^(7)+(-10*a^(-12)-10*a^(-10))*z^(8)+(a^(-13)+a^(-11))*z^(9)+(a^(-12)+a^(-10))*z^(10),table of A-polys,5,4,,,5,,infty,infty,infty,1,[[ -1; 0; 0; 0; 0; 0; 0; 0; 0; 0]; [ -1; -1; 0; 0; 0; 0; 0; 0; 0; 0]; [ -1; -1; -1; -1; -1; -1; 0; -1; -1; -1]; [ -1; -1; 0; -1; -1; -1; 0; 0; -1; -1]; [ -1; -1; 0; 0; -1; -1; 0; 0; 0; -1]; [ -1; -1; 0; 0; 0; -1; 0; 0; 0; 0]; [ 0; 0; -1; -1; -1; -1; -1; -1; -1; -1]; [ -1; -1; 0; -1; -1; -1; 0; -1; -1; -1]; [ -1; -1; 0; 0; -1; -1; 0; 0; -1; -1]; [ -1; -1; 0; 0; 0; -1; 0; 0; 0; -1]],10,5,2.828122088,2.012733281,(32.04743701; 0),( 1.750376487 ; 0.125609626 ),32.04743701,1.754877666,[(35 ; -2 ; 5.229367635 ); (37 ; -2 ; 4.695467392 ); (16 ; -1 ; 4.513549821 ); (17 ; -1 ; 3.131872788 ); (18 ; -1 ; 2.324717957 ); (19 ; -1 ; 2.675666505 ); (20 ; -1 ; 3.882429672 )],reversible,D1,0.236537467,0,1,{{0.1076990118; {0; -1; -2}; 1}; {0.2374458357; {-2; -3; -4}; 1}; {0.4055687721; {-4; -5; -6}; 1}; {0.6510280597; {-6; -7; -8}; 1}},abcdefghil,Small,Y,Y,Y,Y,{1;2;2;1;1;2;2;2;2;2;2;2},{{1;4;2;5};{3;8;4;9};{16;5;17;6};{7;2;8;3};{18;9;19;10};{20;11;21;12};{22;13;23;14};{24;15;1;16};{6;17;7;18};{10;19;11;20};{12;21;13;22};{14;23;15;24}},M{-1;-2;-2;-1;-1;-2;-2;-2;-2;-2;-2;-2},M{-1;-2;-2;-1;-1;-2;-2;-2;-2;-2;-2;-2},,18.0,{{2;{1}};{3;{1}};{4;{3;3}};{5;{1}};{6;{1}};{7;{13;13}};{8;{3;3}};{9;{1}}},,Yes,{5;-4},1,,,,K(1/2;-2/3;1/7),,,10,4,q^(9) + q^(11) + t^(2) q^(13) + t^(3) q^(17) + t^(4) q^(15) + t^(4) q^(17) + t^(5) q^(19) + t^(5) q^(21) + t^(6) q^(19) + t^(7) q^(23) + t^(8) q^(23) + t^(9) q^(27) + t^(3) q^(15) T^(2) + t^(7) q^(21) T^(2) + t^(9) q^(25) T^(2),q^(10) + t^(2) q^(14) + t^(3) q^(16) + t^(4) q^(16) + t^(5) q^(20) + t^(6) q^(20) + t^(7) q^(22) + t^(8) q^(24) + t^(9) q^(26),q^(10) + t^(2) q^(14) + t^(3) q^(16) + t^(4) q^(16) + t^(5) q^(20) + t^(6) q^(20) + t^(7) q^(22) + t^(8) q^(24) + t^(9) q^(26),q^(10) + t^(2) q^(14) + t^(3) q^(16) + t^(4) q^(16) + t^(5) q^(20) + t^(6) q^(20) + t^(7) q^(22) + t^(8) q^(24) + t^(9) q^(26),q^(10) + t^(2) q^(14) + t^(7) q^(22) + t^(8) q^(24) + t^(9) q^(26) + t^(4) q^(16) T^(2) + t^(6) q^(20) T^(2) + t^(5) q^(18) T^(3),q^(10) + t^(2) q^(14) + t^(7) q^(22) + t^(8) q^(24) + t^(9) q^(26),q^(10) + t^(2) q^(14) + t^(3) q^(16) + t^(4) q^(16) + t^(5) q^(20) + t^(6) q^(20) + t^(7) q^(22) + t^(8) q^(24) + t^(9) q^(26),1a^(-5)m^(-10)+ 1a^(-4)m^(-9)+ 1a^(-2)m^(-6)+ 1a^(-1)m^(-5)+ 1a^(0)m^(-4)+ 1a^(1)m^(-3)+ 1a^(2)m^(-2)+ 1a^(4)m^(-1)+ 1a^(5)m^(0),"{'directed': False, 'multigraph': False, 'graph': {}, 'nodes': [{'x': [0.0], 'id': 0}, {'x': [5.0], 'id': 1}, {'x': [0.0], 'id': 2}, {'x': [3.0], 'id': 3}, {'x': [-1.0], 'id': 4}, {'x': [9.0], 'id': 5}, {'x': [2.0], 'id': 6}, {'x': [2.0], 'id': 7}, {'x': [2.0], 'id': 8}, {'x': [2.0], 'id': 9}, {'x': [2.0], 'id': 10}, {'x': [2.0], 'id': 11}, {'x': [2.0], 'id': 12}, {'x': [2.0], 'id': 13}], 'links': [{'edge_attr': (0.3402460446135528, -1.0), 'source': 0, 'target': 4}, {'edge_attr': (0.3402460446135528, 1.0), 'source': 0, 'target': 3}, {'edge_attr': (0.3984874819589417, 1.0), 'source': 0, 'target': 13}, {'edge_attr': (0.3402460446135528, -1.0), 'source': 0, 'target': 2}, {'edge_attr': (0.2062994740159002, 1.0), 'source': 1, 'target': 3}, {'edge_attr': (0.0451583960895835, -1.0), 'source': 1, 'target': 4}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 7}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 9}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 11}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 6}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 8}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 10}, {'edge_attr': (0.3402460446135528, -1.0), 'source': 1, 'target': 2}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 2, 'target': 12}, {'edge_attr': (0.12944943670387588, 1.0), 'source': 2, 'target': 5}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 3, 'target': 12}, {'edge_attr': (0.2763653812798109, 1.0), 'source': 4, 'target': 5}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 5, 'target': 6}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 5, 'target': 8}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 5, 'target': 10}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 5, 'target': 7}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 5, 'target': 9}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 5, 'target': 11}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 5, 'target': 13}]}"
5_2,Y,5,5a_1,4,[4; 8; 10; 2; 6],5_2,[32],7/3,N,{1; -2; 3; -1; 4; -5; 2; -3; 5; -4},[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]],5,k32,1,1,2,2,3,6.0,{1;1;1;2;-1;2},-2,1,[3;4],[-8][1],7,8,1.0,2.0,2-3*t+2*t^2,t-t^2+ 2*t^3-t^4+ t^5-t^6,1+2*z^2,(v^2+v^4-v^6)+(v^2+v^4)*z^2,(a^(-6)+a^(-4)-a^(-2))*z^(0)+(-2*a^(-7)-2*a^(-5))*z^(1)+(-2*a^(-6)-a^(-4)+a^(-2))*z^(2)+(a^(-7)+2*a^(-5)+a^(-3))*z^(3)+(a^(-6)+a^(-4))*z^(4),table of A-polys,1,1,1.0,1.0,1,,infty,infty,infty,7,[[ -1; -1]; [ 0; -2]],2,1,2.828122088,1.973463516,(4.469301752; 0),(0.738117946; 0.883119389),4.469301752,1.150963925,,reversible,D2,-0.153204133,0,0,{{0.2300534562; {0; -1; -2}; 1}},Not Fibered,Small,N,Y,Y,Y,does not exist,{{1;5;2;4};{3;9;4;8};{5;1;6;10};{7;3;8;2};{9;7;10;6}},{1;1;2;{2;1;-2}},{1;1;2;{2;1;-2}},1.0,8.0,{{2;{7}};{3;{5;5}};{4;{3;21}};{5;{11;11}};{6;{5;35}};{7;{13;13}};{8;{3;21}};{9;{5;5}}},1,No,{1;-1},1,Y,N,Y,K(3/7),{0;4;10},P(-1;-1;-3),2,1,q + q^(3) + t q^(3) + t^(2) q^(5) + t^(2) q^(7) + t^(3) q^(9) + t^(4) q^(9) + t^(5) q^(13) + t^(2) q^(5) T^(2) + t^(3) q^(7) T^(2) + t^(5) q^(11) T^(2),q^(2) + t q^(4) + 2 t^(2) q^(6) + t^(3) q^(8) + t^(4) q^(10) + t^(5) q^(12),q^(2) + t q^(4) + 2 t^(2) q^(6) + t^(3) q^(8) + t^(4) q^(10) + t^(5) q^(12),q^(2) + t q^(4) + 2 t^(2) q^(6) + t^(3) q^(8) + t^(4) q^(10) + t^(5) q^(12),q^(2) + t q^(4) + 2 t^(2) q^(6) + t^(3) q^(8) + t^(4) q^(10) + t^(5) q^(12),q^(2) + t q^(4) + 2 t^(2) q^(6) + t^(3) q^(8) + t^(4) q^(10) + t^(5) q^(12),q^(2) + t q^(4) + 2 t^(2) q^(6) + t^(3) q^(8) + t^(4) q^(10) + t^(5) q^(12),2a^(-1)m^(-2)+ 3a^(0)m^(-1)+ 2a^(1)m^(0),"{'directed': False, 'multigraph': False, 'graph': {}, 'nodes': [{'x': [4.0], 'id': 0}, {'x': [4.0], 'id': 1}, {'x': [3.0], 'id': 2}, {'x': [3.0], 'id': 3}, {'x': [2.0], 'id': 4}, {'x': [2.0], 'id': 5}, {'x': [2.0], 'id': 6}], 'links': [{'edge_attr': (0.0451583960895835, 1.0), 'source': 0, 'target': 4}, {'edge_attr': (0.0882775114417832, 1.0), 'source': 0, 'target': 3}, {'edge_attr': (0.16876210385721224, 1.0), 'source': 0, 'target': 6}, {'edge_attr': (0.12944943670387588, 1.0), 'source': 0, 'target': 2}, {'edge_attr': (0.12944943670387588, 1.0), 'source': 1, 'target': 3}, {'edge_attr': (0.16876210385721224, 1.0), 'source': 1, 'target': 4}, {'edge_attr': (0.0882775114417832, 1.0), 'source': 1, 'target': 2}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 6}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 2, 'target': 5}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 3, 'target': 5}]}"
6_1,Y,6,6a_3,8,[4; 8; 12; 10; 2; 6],6_1,[42],9/7,N,{1; -2; 3; -4; 2; -1; 5; -6; 4; -3; 6; -5},[[1;7;2;6];[3;10;4;11];[5;3;6;2];[7;1;8;12];[9;4;10;5];[11;9;12;8]],6,k41,1,1,2,2,4,7.0,{1;1;2;-1;-3;2;-3},0,1,[3;4],[-5][-3],8,8,1.0,2.0,2-5*t+2*t^2,t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4,1-2*z^2,(v^(-2)-v^2+v^4)+(-1-v^2)*z^2,(a^(-4)+a^(-2)-a^2)*z^(0)+(2*a^(-3)+2*a^(-1))*z^(1)+(-3*a^(-4)-4*a^(-2)+a^2)*z^(2)+(-3*a^(-3)-2*a^(-1)+a)*z^(3)+(a^(-4)+2*a^(-2)+1)*z^(4)+(a^(-3)+a^(-1))*z^(5),table of A-polys,0,0,1.0,0.0,0,,1,1,1,9,[[ 1; 0]; [ 1; -2]],0,0,3.163963229,1.995452053,(3.927886928; 0),(0.723661339; 1.016043532),3.927886928,1.247409392,[(1; 1; 3.361458922); (2; 1; 3.20664573); (3; 1; 3.5182109040)],reversible,D2,0.155977017,0,0,{0},Not Fibered,Small,N,N,N,N,does not exist,does not exist,does not exist,does not exist,0.0,8.0,{{2;{9}};{3;{7;7}};{4;{5;45}};{5;{31;31}};{6;{21;189}};{7;{127;127}};{8;{85;765}};{9;{511;511}}},1,No,{0;0},0,Y,N,Y,K(4/9),{-4;0;8},P(-1;-1;-4),1,1,t^(-2) q^(-5) + t^(-1) q^(-1) + 2 q^(-1) + q + t q + t q^(3) + t^(2) q^(5) + t^(3) q^(5) + t^(4) q^(9) + t^(-1) q^(-3) T^(2) + t q T^(2) + t^(2) q^(3) T^(2) + t^(4) q^(7) T^(2),t^(-2) q^(-4) + t^(-1) q^(-2) + 2 + 2 t q^(2) + t^(2) q^(4) + t^(3) q^(6) + t^(4) q^(8),t^(-2) q^(-4) + t^(-1) q^(-2) + 2 + 2 t q^(2) + t^(2) q^(4) + t^(3) q^(6) + t^(4) q^(8),t^(-2) q^(-4) + t^(-1) q^(-2) + 2 + 2 t q^(2) + t^(2) q^(4) + t^(3) q^(6) + t^(4) q^(8),t^(-2) q^(-4) + t^(-1) q^(-2) + 2 + 2 t q^(2) + t^(2) q^(4) + t^(3) q^(6) + t^(4) q^(8),t^(-2) q^(-4) + t^(-1) q^(-2) + 2 + 2 t q^(2) + t^(2) q^(4) + t^(3) q^(6) + t^(4) q^(8),t^(-2) q^(-4) + t^(-1) q^(-2) + 2 + 2 t q^(2) + t^(2) q^(4) + t^(3) q^(6) + t^(4) q^(8),2a^(-1)m^(-1)+ 5a^(0)m^(0)+ 2a^(1)m^(1),"{'directed': False, 'multigraph': False, 'graph': {}, 'nodes': [{'x': [5.0], 'id': 0}, {'x': [5.0], 'id': 1}, {'x': [3.0], 'id': 2}, {'x': [3.0], 'id': 3}, {'x': [2.0], 'id': 4}, {'x': [2.0], 'id': 5}, {'x': [2.0], 'id': 6}, {'x': [2.0], 'id': 7}], 'links': [{'edge_attr': (0.0451583960895835, 1.0), 'source': 0, 'target': 5}, {'edge_attr': (0.2062994740159002, 1.0), 'source': 0, 'target': 2}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 0, 'target': 4}, {'edge_attr': (0.2062994740159002, 1.0), 'source': 0, 'target': 7}, {'edge_attr': (0.2062994740159002, 1.0), 'source': 0, 'target': 3}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 4}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 2}, {'edge_attr': (0.2062994740159002, 1.0), 'source': 1, 'target': 5}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 3}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 7}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 2, 'target': 6}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 3, 'target': 6}]}"
7_2,Y,10,7a_4,12,[4; 10; 14; 12; 2; 8; 6],7_2,[52],11/5,N,{-1; 2; -3; 4; -5; 6; -7; 1; -2; 7; -6; 5; -4; 3},[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]],7,k42,1,1,2,2,4,9.0,{1;1;1;2;-1;2;3;-2;3},-2,1,[3;4],[-10][1],9,9,1.0,2.0,3-5*t+3*t^2,t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8,1+3*z^2,(v^2+v^6-v^8)+(v^2+v^4+v^6)*z^2,(-a^(-8)-a^(-6)-a^(-2))*z^(0)+(3*a^(-9)+3*a^(-7))*z^(1)+(4*a^(-8)+3*a^(-6)+a^(-2))*z^(2)+(-4*a^(-9)-6*a^(-7)-a^(-5)+a^(-3))*z^(3)+(-4*a^(-8)-3*a^(-6)+a^(-4))*z^(4)+(a^(-9)+2*a^(-7)+a^(-5))*z^(5)+(a^(-8)+a^(-6))*z^(6),table of A-polys,1,1,1.0,1.0,1,,infty,infty,infty,11,[[ -1; 1]; [ 0; -3]],2,1,3.331744232,1.998817633,(4.095596222; 0),(0.859967855; 0.976081393),4.095596222,1.300876473,[(1; -1; 3.379648772); (2; -1; 3.074849983); (3; -1; 3.297262230)],reversible,D2,-0.055153535,1,0,{{0.1864294987; {0; -1; -2}; 1}},Not Fibered,Small,N,Y,Y,Y,does not exist,{{2;10;3;9};{4;14;5;13};{6;12;7;11};{8;2;9;1};{10;8;11;7};{12;6;13;5};{14;4;1;3}},{1;1;{3;2;-3};{2;1;-2};3},{1;1;{3;2;-3};{2;1;-2};3},1.0,8.0,{{2;{11}};{3;{8;8}};{4;{5;55}};{5;{31;31}};{6;{16;176}};{7;{83;83}};{8;{35;385}};{9;{136;136}}},1,No,{1;-1},1,Y,N,Y,K(5/11),{0;4;14},P(-5;-1;-1),2,1,q + q^(3) + t q^(3) + t^(2) q^(5) + t^(2) q^(7) + t^(3) q^(7) + t^(3) q^(9) + t^(4) q^(9) + t^(4) q^(11) + t^(5) q^(13) + t^(6) q^(13) + t^(7) q^(17) + t^(2) q^(5) T^(2) + t^(3) q^(7) T^(2) + t^(4) q^(9) T^(2) + t^(5) q^(11) T^(2) + t^(7) q^(15) T^(2),q^(2) + t q^(4) + 2 t^(2) q^(6) + 2 t^(3) q^(8) + 2 t^(4) q^(10) + t^(5) q^(12) + t^(6) q^(14) + t^(7) q^(16),q^(2) + t q^(4) + 2 t^(2) q^(6) + 2 t^(3) q^(8) + 2 t^(4) q^(10) + t^(5) q^(12) + t^(6) q^(14) + t^(7) q^(16),q^(2) + t q^(4) + 2 t^(2) q^(6) + 2 t^(3) q^(8) + 2 t^(4) q^(10) + t^(5) q^(12) + t^(6) q^(14) + t^(7) q^(16),q^(2) + t q^(4) + 2 t^(2) q^(6) + 2 t^(3) q^(8) + 2 t^(4) q^(10) + t^(5) q^(12) + t^(6) q^(14) + t^(7) q^(16),q^(2) + t q^(4) + 2 t^(2) q^(6) + 2 t^(3) q^(8) + 2 t^(4) q^(10) + t^(5) q^(12) + t^(6) q^(14) + t^(7) q^(16),q^(2) + t q^(4) + 2 t^(2) q^(6) + 2 t^(3) q^(8) + 2 t^(4) q^(10) + t^(5) q^(12) + t^(6) q^(14) + t^(7) q^(16),3a^(-1)m^(-2)+ 5a^(0)m^(-1)+ 3a^(1)m^(0),"{'directed': False, 'multigraph': False, 'graph': {}, 'nodes': [{'x': [6.0], 'id': 0}, {'x': [2.0], 'id': 1}, {'x': [3.0], 'id': 2}, {'x': [2.0], 'id': 3}, {'x': [2.0], 'id': 4}, {'x': [2.0], 'id': 5}, {'x': [2.0], 'id': 6}, {'x': [3.0], 'id': 7}, {'x': [6.0], 'id': 8}], 'links': [{'edge_attr': (0.2062994740159002, 1.0), 'source': 0, 'target': 2}, {'edge_attr': (0.2421417167448009, 1.0), 'source': 0, 'target': 3}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 0, 'target': 5}, {'edge_attr': (0.0882775114417832, 1.0), 'source': 0, 'target': 7}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 0, 'target': 6}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 0, 'target': 4}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 7}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 1, 'target': 2}, {'edge_attr': (0.0882775114417832, 1.0), 'source': 2, 'target': 8}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 3, 'target': 8}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 4, 'target': 8}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 5, 'target': 8}, {'edge_attr': (0.0451583960895835, 1.0), 'source': 6, 'target': 8}, {'edge_attr': (0.2062994740159002, 1.0), 'source': 7, 'target': 8}]}"
