,Name,PD Notation,Volume,Crossing Number,Determinant,n_crossings,n_faces,writhe,is_alternating,n_edges,n_nodes,average_degree,std_degrees,density
11,7^2_7,[[0; 12; 1; 11]; [6; 2; 7; 1]; [2; 8; 3; 7]; [8; 4; 9; 3]; [13; 5; 10; 4]; [5; 13; 6; 12]; [10; 0; 11; 9]],0.0,7,31,7,9,7,False,14,9,3.111111111111111,1.1967032904743342,0.3888888888888889
12,7^2_8,[[11; 1; 12; 0]; [1; 6; 2; 7]; [7; 2; 8; 3]; [12; 3; 13; 4]; [4; 13; 5; 10]; [5; 8; 6; 9]; [9; 11; 0; 10]],3.663862377,7,31,7,9,-3,False,14,9,3.111111111111111,0.8748897637790901,0.3888888888888889
13,8^2_1,[[0; 10; 1; 9]; [8; 2; 9; 1]; [2; 8; 3; 15]; [14; 4; 15; 3]; [4; 14; 5; 13]; [12; 6; 13; 5]; [6; 12; 7; 11]; [10; 0; 11; 7]],0.0,8,31,8,10,8,True,16,10,3.2,2.4,0.35555555555555557
14,8^2_2,[[0; 10; 1; 9]; [10; 2; 11; 1]; [2; 12; 3; 11]; [12; 4; 13; 3]; [4; 14; 5; 13]; [8; 6; 9; 5]; [6; 8; 7; 15]; [14; 0; 15; 7]],4.851170757,8,31,8,10,8,True,16,10,3.2,1.6,0.35555555555555557
15,8^2_3,[[11; 1; 12; 0]; [1; 11; 2; 10]; [7; 2; 8; 3]; [3; 6; 4; 7]; [15; 5; 10; 4]; [5; 15; 6; 14]; [13; 9; 14; 8]; [9; 13; 0; 12]],6.947555449,8,31,8,10,4,True,16,10,3.2,1.4000000000000001,0.35555555555555557
16,8^2_4,[[9; 0; 10; 1]; [1; 14; 2; 15]; [13; 2; 14; 3]; [3; 10; 4; 11]; [11; 4; 12; 5]; [5; 12; 6; 13]; [15; 6; 8; 7]; [7; 8; 0; 9]],7.517689897,8,31,8,10,-8,True,16,10,3.2,1.32664991614216,0.35555555555555557
17,8^2_5,[[3; 0; 4; 1]; [1; 11; 2; 10]; [9; 3; 10; 2]; [15; 5; 8; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [7; 15; 0; 14]; [11; 8; 12; 9]],7.894594487,8,31,8,10,4,True,16,10,3.2,1.1661903789690602,0.35555555555555557
18,8^2_6,[[13; 0; 14; 1]; [1; 10; 2; 11]; [9; 2; 10; 3]; [3; 8; 4; 9]; [7; 4; 8; 5]; [5; 14; 6; 15]; [15; 6; 12; 7]; [11; 12; 0; 13]],6.551743288,8,31,8,10,-8,True,16,10,3.2,1.5362291495737217,0.35555555555555557
19,8^2_7,[[11; 1; 12; 0]; [1; 4; 2; 5]; [15; 2; 10; 3]; [3; 10; 4; 11]; [5; 8; 6; 9]; [13; 6; 14; 7]; [7; 14; 8; 15]; [9; 13; 0; 12]],8.830664955,8,31,8,10,-4,True,16,10,3.2,1.1661903789690602,0.35555555555555557
20,8^2_8,[[9; 0; 10; 1]; [1; 15; 2; 14]; [5; 3; 6; 2]; [3; 12; 4; 13]; [11; 4; 12; 5]; [13; 7; 14; 6]; [7; 8; 0; 9]; [15; 10; 8; 11]],9.672807731,8,31,8,10,-2,True,16,10,3.2,0.8717797887081347,0.35555555555555557
21,8^2_9,[[5; 0; 6; 1]; [1; 4; 2; 5]; [9; 3; 10; 2]; [3; 9; 4; 8]; [13; 6; 14; 7]; [7; 12; 8; 13]; [15; 10; 12; 11]; [11; 14; 0; 15]],8.967360849,8,31,8,10,-4,True,16,10,3.2,1.1661903789690602,0.35555555555555557
22,8^2_10,[[3; 1; 4; 0]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [15; 10; 12; 11]; [11; 14; 0; 15]],9.659498545,8,31,8,10,0,True,16,10,3.2,0.9797958971132713,0.35555555555555557
23,8^2_11,[[0; 13; 1; 14]; [8; 2; 9; 1]; [2; 10; 3; 9]; [10; 4; 11; 3]; [4; 8; 5; 7]; [12; 5; 13; 6]; [6; 15; 7; 12]; [14; 11; 15; 0]],8.793345604,8,31,8,10,0,True,16,10,3.2,1.077032961426901,0.35555555555555557
