Name,PD Notation,Crossing Number,Determinant,Volume
10_2,[[1;13;2;12];[3;14;4;15];[5;3;6;2];[7;17;8;16];[9;19;10;18];[11;1;12;20];[13;4;14;5];[15;7;16;6];[17;9;18;8];[19;11;20;10]],10,23,5.11484146
11a_364,[[10;2;11;1];[14;4;15;3];[22;12;1;11];[12;22;13;21];[16;6;17;5];[18;8;19;7];[20;10;21;9];[2;14;3;13];[4;16;5;15];[6;18;7;17];[8;20;9;19]],11,25,5.140206563
10_161,[[1;13;2;12];[4;18;5;17];[6;14;7;13];[8;4;9;3];[9;17;10;16];[11;1;12;20];[14;6;15;5];[15;11;16;10];[18;8;19;7];[19;3;20;2]],10,5,5.638772949
9_5,[[2;14;3;13];[4;12;5;11];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]],9,23,5.698441751
10_3,[[2;10;3;9];[4;17;5;18];[6;15;7;16];[8;4;9;3];[10;2;11;1];[12;20;13;19];[14;7;15;8];[16;5;17;6];[18;14;19;13];[20;12;1;11]],10,25,5.732104787
10_4,[[2;13;3;14];[4;11;5;12];[6;20;7;19];[8;18;9;17];[10;16;11;15];[12;1;13;2];[14;3;15;4];[16;10;17;9];[18;8;19;7];[20;6;1;5]],10,27,5.817129693
11a_342,[[6;2;7;1];[14;4;15;3];[22;8;1;7];[20;10;21;9];[18;12;19;11];[12;18;13;17];[10;20;11;19];[8;22;9;21];[16;6;17;5];[2;14;3;13];[4;16;5;15]],11,29,5.838754629
12n_582,[[1;5;2;4];[3;13;4;12];[16;6;17;5];[20;8;21;7];[18;10;19;9];[11;3;12;2];[13;22;14;23];[15;24;16;1];[10;18;11;17];[8;20;9;19];[6;22;7;21];[23;14;24;15]],12,9,5.854242722
10_128,[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;19;8;18];[9;5;10;4];[11;3;12;2];[14;20;15;19];[16;14;17;13];[17;7;18;6];[20;16;1;15]],10,11,5.860539302
11n_57,[[4;2;5;1];[8;4;9;3];[9;17;10;16];[5;15;6;14];[15;7;16;6];[11;19;12;18];[17;11;18;10];[19;1;20;22];[13;20;14;21];[21;12;22;13];[2;8;3;7]],11,7,5.860539302
9_43,[[1;9;2;8];[3;16;4;17];[5;1;6;18];[6;12;7;11];[9;3;10;2];[10;14;11;13];[12;8;13;7];[15;4;16;5];[17;15;18;14]],9,13,5.904085859
12n_243,[[1;5;2;4];[3;9;4;8];[16;6;17;5];[7;3;8;2];[18;10;19;9];[20;12;21;11];[22;14;23;13];[24;16;1;15];[6;18;7;17];[10;20;11;19];[14;22;15;21];[12;24;13;23]],12,5,5.904085859
12n_725,[[1;7;2;6];[3;11;4;10];[5;13;6;12];[18;8;19;7];[9;3;10;2];[11;5;12;4];[20;14;21;13];[22;16;23;15];[24;18;1;17];[8;20;9;19];[14;22;15;21];[16;24;17;23]],12,5,5.916745735
10_8,[[1;12;2;13];[3;10;4;11];[5;15;6;14];[7;17;8;16];[9;19;10;18];[11;2;12;3];[13;20;14;1];[15;7;16;6];[17;9;18;8];[19;5;20;4]],10,29,6.083234837
