Name,PD Notation,Crossing Number,Determinant,Volume
11a_65,[[4;2;5;1];[10;8;11;7];[8;3;9;4];[2;9;3;10];[18;15;19;16];[16;5;17;6];[6;17;7;18];[22;11;1;12];[20;13;21;14];[14;19;15;20];[12;21;13;22]],11,59,10.68650031
11a_66,[[4;2;5;1];[12;8;13;7];[8;3;9;4];[2;9;3;10];[20;13;21;14];[16;5;17;6];[6;19;7;20];[22;15;1;16];[14;21;15;22];[18;12;19;11];[10;18;11;17]],11,119,15.80105917
11a_67,[[4;2;5;1];[12;8;13;7];[8;3;9;4];[2;9;3;10];[20;15;21;16];[16;5;17;6];[6;19;7;20];[22;13;1;14];[14;21;15;22];[18;12;19;11];[10;18;11;17]],11,125,16.09979387
11a_68,[[4;2;5;1];[14;8;15;7];[8;3;9;4];[2;9;3;10];[22;15;1;16];[16;5;17;6];[6;21;7;22];[18;12;19;11];[20;14;21;13];[10;18;11;17];[12;20;13;19]],11,103,14.70025774
11a_69,[[4;2;5;1];[14;8;15;7];[8;3;9;4];[2;9;3;10];[22;15;1;16];[16;5;17;6];[6;21;7;22];[20;14;21;13];[10;20;11;19];[18;12;19;11];[12;18;13;17]],11,141,16.74027515
11a_70,[[4;2;5;1];[18;6;19;5];[8;3;9;4];[2;9;3;10];[16;11;17;12];[12;8;13;7];[6;16;7;15];[10;17;11;18];[22;20;1;19];[20;14;21;13];[14;22;15;21]],11,151,17.43351087
11a_71,[[4;2;5;1];[10;4;11;3];[22;11;1;12];[12;5;13;6];[6;18;7;17];[14;8;15;7];[18;13;19;14];[8;19;9;20];[16;22;17;21];[20;16;21;15];[2;10;3;9]],11,159,17.38730938
11a_72,[[4;2;5;1];[10;4;11;3];[22;11;1;12];[12;5;13;6];[18;14;19;13];[14;8;15;7];[6;19;7;20];[16;21;17;22];[20;15;21;16];[8;18;9;17];[2;10;3;9]],11,153,17.17298897
11a_73,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[14;7;15;8];[22;17;1;18];[6;20;7;19];[8;21;9;22];[16;10;17;9];[18;13;19;14];[20;16;21;15]],11,177,18.41840859
11a_74,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[14;8;15;7];[6;14;7;13];[20;16;21;15];[18;9;19;10];[8;19;9;20];[22;18;1;17];[16;22;17;21]],11,73,12.30515844
11a_75,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[14;8;15;7];[6;14;7;13];[20;18;21;17];[18;9;19;10];[8;19;9;20];[22;16;1;15];[16;22;17;21]],11,83,12.6919565
11a_76,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;14;21;13];[14;7;15;8];[6;19;7;20];[18;9;19;10];[8;15;9;16];[22;18;1;17];[16;22;17;21]],11,145,16.9805132
11a_77,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[22;14;1;13];[14;7;15;8];[6;21;7;22];[18;9;19;10];[20;15;21;16];[16;19;17;20];[8;17;9;18]],11,131,15.25732859
11a_78,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;10;21;9];[22;18;1;17];[18;22;19;21];[16;14;17;13];[14;7;15;8];[6;15;7;16];[8;20;9;19]],11,123,15.33163272
11a_79,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;10;21;9];[22;17;1;18];[18;13;19;14];[14;7;15;8];[8;15;9;16];[16;21;17;22];[6;20;7;19]],11,143,16.87140207
11a_80,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[22;10;1;9];[6;17;7;18];[14;7;15;8];[18;14;19;13];[8;20;9;19];[16;21;17;22];[20;15;21;16]],11,137,16.51612416
11a_81,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[22;10;1;9];[18;13;19;14];[14;7;15;8];[6;20;7;19];[16;22;17;21];[20;16;21;15];[8;17;9;18]],11,127,16.05096733
11a_82,[[4;2;5;1];[10;4;11;3];[22;11;1;12];[12;5;13;6];[18;13;19;14];[16;8;17;7];[6;18;7;17];[20;15;21;16];[14;19;15;20];[8;21;9;22];[2;10;3;9]],11,95,13.88825994
11a_83,[[4;2;5;1];[10;4;11;3];[22;11;1;12];[12;5;13;6];[6;21;7;22];[16;8;17;7];[18;14;19;13];[20;16;21;15];[14;20;15;19];[8;18;9;17];[2;10;3;9]],11,113,14.77031523
11a_84,[[4;2;5;1];[10;4;11;3];[22;11;1;12];[12;5;13;6];[18;15;19;16];[16;8;17;7];[6;18;7;17];[20;13;21;14];[14;19;15;20];[8;21;9;22];[2;10;3;9]],11,101,13.86957044
11a_85,[[4;2;5;1];[10;4;11;3];[22;11;1;12];[12;5;13;6];[6;21;7;22];[16;8;17;7];[20;14;21;13];[18;16;19;15];[14;20;15;19];[8;18;9;17];[2;10;3;9]],11,107,14.05511415
11a_86,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[16;8;17;7];[22;19;1;20];[20;13;21;14];[14;21;15;22];[18;10;19;9];[6;16;7;15];[8;18;9;17]],11,91,13.55736049
11a_87,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[18;10;19;9];[22;19;1;20];[20;13;21;14];[14;21;15;22];[6;18;7;17];[16;8;17;7];[8;16;9;15]],11,121,15.13807156
11a_88,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;14;21;13];[16;7;17;8];[6;19;7;20];[18;9;19;10];[8;17;9;18];[22;16;1;15];[14;22;15;21]],11,101,14.14441036
11a_89,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[16;8;17;7];[22;14;1;13];[14;22;15;21];[6;16;7;15];[20;18;21;17];[18;9;19;10];[8;19;9;20]],11,119,14.72808187
11a_90,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;16;21;15];[16;7;17;8];[6;19;7;20];[18;9;19;10];[22;14;1;13];[8;17;9;18];[14;22;15;21]],11,87,12.51875225
11a_91,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;10;21;9];[22;14;1;13];[14;22;15;21];[6;20;7;19];[16;7;17;8];[18;15;19;16];[8;17;9;18]],11,129,15.13271153
11a_92,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[22;10;1;9];[6;22;7;21];[16;7;17;8];[18;13;19;14];[20;15;21;16];[14;19;15;20];[8;17;9;18]],11,103,14.24224184
11a_93,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[22;10;1;9];[6;22;7;21];[16;7;17;8];[20;13;21;14];[18;15;19;16];[14;19;15;20];[8;17;9;18]],11,93,13.11119498
11a_94,[[4;2;5;1];[10;4;11;3];[12;6;13;5];[18;8;19;7];[20;14;21;13];[22;16;1;15];[14;22;15;21];[16;20;17;19];[6;18;7;17];[8;12;9;11];[2;10;3;9]],11,107,14.45804565
11a_95,[[4;2;5;1];[10;4;11;3];[12;6;13;5];[18;8;19;7];[22;14;1;13];[20;16;21;15];[16;20;17;19];[14;22;15;21];[6;18;7;17];[8;12;9;11];[2;10;3;9]],11,73,11.76068508
11a_96,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[22;14;1;13];[14;9;15;10];[18;7;19;8];[20;18;21;17];[16;22;17;21];[8;15;9;16];[6;19;7;20]],11,121,14.87439687
11a_97,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;14;21;13];[16;9;17;10];[18;7;19;8];[8;17;9;18];[6;19;7;20];[22;16;1;15];[14;22;15;21]],11,71,12.16998529
11a_98,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;16;21;15];[16;9;17;10];[18;7;19;8];[8;17;9;18];[6;19;7;20];[22;14;1;13];[14;22;15;21]],11,77,12.02171194
11a_99,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;8;21;7];[22;17;1;18];[18;13;19;14];[14;21;15;22];[16;10;17;9];[8;16;9;15];[6;20;7;19]],11,135,16.60859721
11a_100,[[4;2;5;1];[12;6;13;5];[10;3;11;4];[2;11;3;12];[20;8;21;7];[22;14;1;13];[18;22;19;21];[16;10;17;9];[14;18;15;17];[8;16;9;15];[6;20;7;19]],11,141,16.17551149
11a_101,[[4;2;5;1];[10;4;11;3];[20;11;21;12];[12;7;13;8];[8;19;9;20];[18;14;19;13];[14;6;15;5];[6;18;7;17];[22;16;1;15];[16;22;17;21];[2;10;3;9]],11,167,18.52095056
11a_102,[[4;2;5;1];[12;8;13;7];[10;3;11;4];[2;11;3;12];[14;6;15;5];[6;14;7;13];[20;16;21;15];[18;9;19;10];[8;19;9;20];[22;18;1;17];[16;22;17;21]],11,99,14.68610932
11a_103,[[4;2;5;1];[12;8;13;7];[10;3;11;4];[2;11;3;12];[14;6;15;5];[6;14;7;13];[20;18;21;17];[18;9;19;10];[8;19;9;20];[22;16;1;15];[16;22;17;21]],11,81,13.22183761
11a_104,[[4;2;5;1];[12;8;13;7];[10;3;11;4];[2;11;3;12];[16;13;17;14];[14;5;15;6];[6;15;7;16];[20;10;21;9];[22;18;1;17];[18;22;19;21];[8;20;9;19]],11,125,15.71833934
11a_105,[[4;2;5;1];[10;4;11;3];[14;6;15;5];[16;8;17;7];[20;11;21;12];[22;18;1;17];[18;22;19;21];[6;16;7;15];[12;19;13;20];[8;14;9;13];[2;10;3;9]],11,109,14.71700081
11a_106,[[4;2;5;1];[10;4;11;3];[18;13;19;14];[14;5;15;6];[16;7;17;8];[6;15;7;16];[8;17;9;18];[22;20;1;19];[20;12;21;11];[12;22;13;21];[2;10;3;9]],11,93,13.40012185
11a_107,[[4;2;5;1];[10;4;11;3];[18;13;19;14];[14;5;15;6];[6;17;7;18];[16;7;17;8];[8;15;9;16];[22;20;1;19];[20;12;21;11];[12;22;13;21];[2;10;3;9]],11,111,14.30636095
11a_108,[[4;2;5;1];[10;4;11;3];[20;11;21;12];[14;5;15;6];[18;15;19;16];[16;8;17;7];[6;18;7;17];[8;19;9;20];[22;13;1;14];[12;21;13;22];[2;10;3;9]],11,99,14.23678351
11a_109,[[4;2;5;1];[10;4;11;3];[20;11;21;12];[14;5;15;6];[6;19;7;20];[16;8;17;7];[18;16;19;15];[8;18;9;17];[22;13;1;14];[12;21;13;22];[2;10;3;9]],11,117,15.11912707
11a_110,[[4;2;5;1];[10;4;11;3];[20;13;21;14];[14;5;15;6];[18;15;19;16];[16;8;17;7];[6;18;7;17];[8;19;9;20];[22;11;1;12];[12;21;13;22];[2;10;3;9]],11,97,13.47165434
11a_111,[[4;2;5;1];[10;4;11;3];[20;13;21;14];[14;5;15;6];[6;19;7;20];[16;8;17;7];[18;16;19;15];[8;18;9;17];[22;11;1;12];[12;21;13;22];[2;10;3;9]],11,103,13.67450033
11a_112,[[4;2;5;1];[22;18;1;17];[10;3;11;4];[2;11;3;12];[18;9;19;10];[12;19;13;20];[14;6;15;5];[16;8;17;7];[6;16;7;15];[20;13;21;14];[8;21;9;22]],11,125,16.34297559
11a_113,[[4;2;5;1];[22;16;1;15];[10;3;11;4];[2;11;3;12];[16;7;17;8];[18;9;19;10];[8;17;9;18];[12;19;13;20];[14;6;15;5];[20;13;21;14];[6;21;7;22]],11,109,15.67783116
11a_114,[[4;2;5;1];[10;4;11;3];[14;6;15;5];[22;16;1;15];[16;12;17;11];[12;22;13;21];[6;14;7;13];[20;17;21;18];[18;7;19;8];[8;19;9;20];[2;10;3;9]],11,151,17.55836278
11a_115,[[4;2;5;1];[10;4;11;3];[20;11;21;12];[18;7;19;8];[14;6;15;5];[12;17;13;18];[6;14;7;13];[8;19;9;20];[22;16;1;15];[16;22;17;21];[2;10;3;9]],11,121,16.42829834
11a_116,[[4;2;5;1];[10;4;11;3];[14;6;15;5];[18;8;19;7];[22;16;1;15];[16;22;17;21];[20;11;21;12];[6;18;7;17];[12;19;13;20];[8;14;9;13];[2;10;3;9]],11,137,17.08797076
11a_117,[[4;2;5;1];[10;4;11;3];[14;6;15;5];[18;8;19;7];[20;16;21;15];[16;20;17;19];[22;11;1;12];[6;18;7;17];[12;21;13;22];[8;14;9;13];[2;10;3;9]],11,117,14.59696676
11a_118,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[14;6;15;5];[20;16;21;15];[18;7;19;8];[6;19;7;20];[22;18;1;17];[16;22;17;21];[8;14;9;13]],11,87,13.34965123
11a_119,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[14;6;15;5];[20;18;21;17];[18;7;19;8];[6;19;7;20];[22;16;1;15];[16;22;17;21];[8;14;9;13]],11,77,12.0579781
11a_120,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[22;13;1;14];[14;5;15;6];[18;7;19;8];[20;17;21;18];[16;21;17;22];[6;15;7;16];[8;19;9;20]],11,109,14.31264523
11a_121,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[22;13;1;14];[14;5;15;6];[20;18;21;17];[8;15;9;16];[6;19;7;20];[18;7;19;8];[16;22;17;21]],11,119,14.75552573
11a_122,[[4;2;5;1];[22;16;1;15];[10;3;11;4];[2;11;3;12];[16;9;17;10];[18;7;19;8];[8;17;9;18];[12;19;13;20];[14;6;15;5];[20;13;21;14];[6;21;7;22]],11,127,16.45942322
11a_123,[[4;2;5;1];[10;4;11;3];[20;8;21;7];[18;14;19;13];[14;6;15;5];[6;18;7;17];[12;20;13;19];[8;12;9;11];[22;16;1;15];[16;22;17;21];[2;10;3;9]],11,117,15.97132802
11a_124,[[4;2;5;1];[10;4;11;3];[14;6;15;5];[22;16;1;15];[16;12;17;11];[20;8;21;7];[18;22;19;21];[12;18;13;17];[6;20;7;19];[8;14;9;13];[2;10;3;9]],11,155,17.523968
11a_125,[[4;2;5;1];[10;4;11;3];[16;11;17;12];[14;5;15;6];[8;15;9;16];[20;8;21;7];[12;22;13;21];[18;14;19;13];[6;20;7;19];[22;17;1;18];[2;10;3;9]],11,175,18.64549534
11a_126,[[4;2;5;1];[10;4;11;3];[16;11;17;12];[8;15;9;16];[6;20;7;19];[14;5;15;6];[20;8;21;7];[18;22;19;21];[22;13;1;14];[12;17;13;18];[2;10;3;9]],11,145,17.2092012
11a_127,[[4;2;5;1];[10;4;11;3];[22;11;1;12];[14;5;15;6];[6;20;7;19];[20;8;21;7];[8;15;9;16];[16;22;17;21];[18;14;19;13];[12;18;13;17];[2;10;3;9]],11,137,16.65594885
11a_128,[[4;2;5;1];[14;5;15;6];[10;3;11;4];[2;11;3;12];[12;16;13;15];[16;10;17;9];[20;8;21;7];[22;17;1;18];[18;21;19;22];[8;20;9;19];[6;13;7;14]],11,129,15.69431664
11a_129,[[4;2;5;1];[22;16;1;15];[10;3;11;4];[2;11;3;12];[16;9;17;10];[12;17;13;18];[14;6;15;5];[18;13;19;14];[8;21;9;22];[20;7;21;8];[6;19;7;20]],11,113,15.50892847
11a_130,[[4;2;5;1];[20;7;21;8];[10;3;11;4];[2;11;3;12];[14;6;15;5];[16;9;17;10];[22;16;1;15];[12;17;13;18];[18;13;19;14];[8;19;9;20];[6;21;7;22]],11,123,15.99063581
11a_131,[[4;2;5;1];[14;6;15;5];[10;3;11;4];[2;11;3;12];[20;13;21;14];[16;21;17;22];[18;9;19;10];[8;17;9;18];[12;19;13;20];[22;8;1;7];[6;16;7;15]],11,131,16.91459404
11a_132,[[4;2;5;1];[12;8;13;7];[10;3;11;4];[2;11;3;12];[16;6;17;5];[6;16;7;15];[20;14;21;13];[18;9;19;10];[8;19;9;20];[22;18;1;17];[14;22;15;21]],11,135,16.77882244
11a_133,[[4;2;5;1];[10;4;11;3];[16;6;17;5];[20;11;21;12];[22;18;1;17];[18;22;19;21];[12;19;13;20];[14;8;15;7];[8;14;9;13];[6;16;7;15];[2;10;3;9]],11,79,12.94779461
11a_134,[[4;2;5;1];[10;4;11;3];[14;8;15;7];[22;20;1;19];[20;12;21;11];[12;22;13;21];[8;14;9;13];[18;15;19;16];[16;5;17;6];[6;17;7;18];[2;10;3;9]],11,123,15.48406234
11a_135,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[16;6;17;5];[22;18;1;17];[14;7;15;8];[8;20;9;19];[6;21;7;22];[18;14;19;13];[20;15;21;16]],11,153,17.65635854
11a_136,[[4;2;5;1];[14;7;15;8];[10;3;11;4];[2;11;3;12];[16;6;17;5];[18;9;19;10];[20;15;21;16];[8;13;9;14];[22;18;1;17];[12;19;13;20];[6;21;7;22]],11,163,18.07111941
11a_137,[[4;2;5;1];[22;18;1;17];[10;3;11;4];[2;11;3;12];[18;9;19;10];[12;19;13;20];[16;6;17;5];[14;8;15;7];[20;13;21;14];[6;16;7;15];[8;21;9;22]],11,111,15.50948927
11a_138,[[4;2;5;1];[16;5;17;6];[10;3;11;4];[2;11;3;12];[12;18;13;17];[18;10;19;9];[20;14;21;13];[6;21;7;22];[14;8;15;7];[8;20;9;19];[22;15;1;16]],11,161,18.04714314
11a_139,[[4;2;5;1];[10;4;11;3];[16;6;17;5];[18;8;19;7];[20;11;21;12];[22;13;1;14];[12;21;13;22];[6;18;7;17];[14;19;15;20];[8;16;9;15];[2;10;3;9]],11,99,13.73053908
11a_140,[[4;2;5;1];[10;4;11;3];[16;6;17;5];[18;8;19;7];[22;11;1;12];[20;13;21;14];[6;18;7;17];[14;19;15;20];[12;21;13;22];[8;16;9;15];[2;10;3;9]],11,65,10.62749618
11a_141,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[16;6;17;5];[22;18;1;17];[18;7;19;8];[6;21;7;22];[8;14;9;13];[20;15;21;16];[14;19;15;20]],11,103,14.94555631
11a_142,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[20;13;21;14];[16;5;17;6];[18;7;19;8];[6;17;7;18];[8;19;9;20];[22;15;1;16];[14;21;15;22]],11,59,11.41378946
11a_143,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[20;13;21;14];[16;5;17;6];[6;19;7;20];[18;7;19;8];[8;17;9;18];[22;15;1;16];[14;21;15;22]],11,89,13.60842047
11a_144,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[20;15;21;16];[16;5;17;6];[18;7;19;8];[6;17;7;18];[8;19;9;20];[22;13;1;14];[14;21;15;22]],11,73,11.82285809
11a_145,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[20;15;21;16];[16;5;17;6];[6;19;7;20];[18;7;19;8];[8;17;9;18];[22;13;1;14];[14;21;15;22]],11,83,12.39107762
11a_146,[[4;2;5;1];[14;10;15;9];[10;3;11;4];[2;11;3;12];[22;15;1;16];[16;5;17;6];[18;7;19;8];[6;17;7;18];[8;21;9;22];[20;14;21;13];[12;20;13;19]],11,123,16.28821973
11a_147,[[4;2;5;1];[10;4;11;3];[16;6;17;5];[20;8;21;7];[18;13;19;14];[12;17;13;18];[22;11;1;12];[6;20;7;19];[14;21;15;22];[8;16;9;15];[2;10;3;9]],11,151,17.23527563
11a_148,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[16;6;17;5];[22;18;1;17];[18;14;19;13];[14;22;15;21];[20;8;21;7];[6;16;7;15];[8;20;9;19]],11,115,15.77281713
11a_149,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[16;6;17;5];[22;18;1;17];[18;14;19;13];[20;7;21;8];[14;20;15;19];[6;21;7;22];[8;16;9;15]],11,127,16.26631999
11a_150,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[18;13;19;14];[8;17;9;18];[6;21;7;22];[16;5;17;6];[20;7;21;8];[22;15;1;16];[14;19;15;20]],11,125,16.21113006
11a_151,[[4;2;5;1];[14;10;15;9];[10;3;11;4];[2;11;3;12];[22;15;1;16];[16;5;17;6];[20;7;21;8];[6;19;7;20];[8;21;9;22];[18;14;19;13];[12;18;13;17]],11,127,16.15823191
11a_152,[[4;2;5;1];[14;10;15;9];[10;3;11;4];[2;11;3;12];[22;15;1;16];[16;5;17;6];[6;21;7;22];[20;7;21;8];[8;19;9;20];[18;14;19;13];[12;18;13;17]],11,117,15.64135047
11a_153,[[4;2;5;1];[10;4;11;3];[18;6;19;5];[20;13;21;14];[22;15;1;16];[14;21;15;22];[16;19;17;20];[12;8;13;7];[8;12;9;11];[6;18;7;17];[2;10;3;9]],11,89,13.41128582
11a_154,[[4;2;5;1];[10;4;11;3];[18;6;19;5];[22;13;1;14];[20;15;21;16];[16;19;17;20];[14;21;15;22];[12;8;13;7];[8;12;9;11];[6;18;7;17];[2;10;3;9]],11,67,11.54623467
11a_155,[[4;2;5;1];[10;4;11;3];[16;11;17;12];[12;7;13;8];[8;15;9;16];[20;13;21;14];[6;21;7;22];[18;5;19;6];[14;19;15;20];[22;17;1;18];[2;10;3;9]],11,171,18.53843574
11a_156,[[4;2;5;1];[12;8;13;7];[10;3;11;4];[2;11;3;12];[20;15;21;16];[18;5;19;6];[6;19;7;20];[22;17;1;18];[16;21;17;22];[14;10;15;9];[8;14;9;13]],11,91,14.08563304
11a_157,[[4;2;5;1];[12;8;13;7];[10;3;11;4];[2;11;3;12];[20;13;21;14];[18;5;19;6];[6;19;7;20];[22;17;1;18];[14;21;15;22];[16;10;17;9];[8;16;9;15]],11,135,16.81275955
11a_158,[[4;2;5;1];[10;4;11;3];[16;11;17;12];[18;5;19;6];[14;7;15;8];[8;15;9;16];[6;19;7;20];[12;22;13;21];[20;14;21;13];[22;17;1;18];[2;10;3;9]],11,119,16.2349533
11a_159,[[4;2;5;1];[10;4;11;3];[18;6;19;5];[22;11;1;12];[20;15;21;16];[16;19;17;20];[12;21;13;22];[14;8;15;7];[8;14;9;13];[6;18;7;17];[2;10;3;9]],11,111,14.40887305
11a_160,[[4;2;5;1];[10;4;11;3];[14;7;15;8];[22;11;1;12];[16;22;17;21];[20;14;21;13];[18;5;19;6];[6;19;7;20];[8;15;9;16];[12;18;13;17];[2;10;3;9]],11,145,17.09851719
11a_161,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[14;8;15;7];[8;14;9;13];[20;15;21;16];[18;5;19;6];[6;19;7;20];[22;17;1;18];[16;21;17;22]],11,57,11.01256933
11a_162,[[4;2;5;1];[16;10;17;9];[10;3;11;4];[2;11;3;12];[22;17;1;18];[18;5;19;6];[14;7;15;8];[6;13;7;14];[8;21;9;22];[20;16;21;15];[12;20;13;19]],11,167,18.2450339
11a_163,[[4;2;5;1];[14;8;15;7];[10;3;11;4];[2;11;3;12];[22;17;1;18];[18;5;19;6];[6;21;7;22];[16;10;17;9];[20;14;21;13];[8;16;9;15];[12;20;13;19]],11,119,15.91929282
11a_164,[[4;2;5;1];[22;16;1;15];[10;3;11;4];[2;11;3;12];[16;9;17;10];[12;17;13;18];[14;8;15;7];[18;6;19;5];[6;20;7;19];[20;13;21;14];[8;21;9;22]],11,169,18.35849728
11a_165,[[4;2;5;1];[10;4;11;3];[18;6;19;5];[20;11;21;12];[22;13;1;14];[12;21;13;22];[14;19;15;20];[16;8;17;7];[8;16;9;15];[6;18;7;17];[2;10;3;9]],11,81,12.57285253
11a_166,[[4;2;5;1];[10;4;11;3];[18;6;19;5];[22;11;1;12];[20;13;21;14];[14;19;15;20];[12;21;13;22];[16;8;17;7];[8;16;9;15];[6;18;7;17];[2;10;3;9]],11,59,10.36707815
11a_167,[[4;2;5;1];[12;10;13;9];[10;3;11;4];[2;11;3;12];[8;14;9;13];[22;17;1;18];[18;5;19;6];[14;20;15;19];[16;8;17;7];[20;16;21;15];[6;21;7;22]],11,113,15.50318388
11a_168,[[4;2;5;1];[14;10;15;9];[10;3;11;4];[2;11;3;12];[16;8;17;7];[8;16;9;15];[22;17;1;18];[18;5;19;6];[6;21;7;22];[20;14;21;13];[12;20;13;19]],11,125,16.36894411
11a_169,[[4;2;5;1];[14;10;15;9];[10;3;11;4];[2;11;3;12];[22;15;1;16];[18;5;19;6];[8;21;9;22];[16;7;17;8];[6;17;7;18];[20;14;21;13];[12;20;13;19]],11,121,16.14429937
11a_170,[[4;2;5;1];[10;4;11;3];[16;11;17;12];[18;5;19;6];[8;15;9;16];[14;19;15;20];[20;8;21;7];[6;14;7;13];[12;22;13;21];[22;17;1;18];[2;10;3;9]],11,185,19.20510718
11a_171,[[4;2;5;1];[10;4;11;3];[20;8;21;7];[18;5;19;6];[14;19;15;20];[22;11;1;12];[6;14;7;13];[16;22;17;21];[8;15;9;16];[12;18;13;17];[2;10;3;9]],11,183,18.67120688
11a_172,[[4;2;5;1];[14;10;15;9];[10;3;11;4];[2;11;3;12];[22;8;1;7];[18;5;19;6];[16;22;17;21];[6;17;7;18];[8;16;9;15];[20;14;21;13];[12;20;13;19]],11,139,17.20203531
11a_173,[[4;2;5;1];[10;4;11;3];[20;6;21;5];[22;15;1;16];[16;21;17;22];[14;8;15;7];[18;13;19;14];[12;19;13;20];[8;12;9;11];[6;18;7;17];[2;10;3;9]],11,135,16.7455825
11a_174,[[4;2;5;1];[12;4;13;3];[22;13;1;14];[14;5;15;6];[16;7;17;8];[6;15;7;16];[20;17;21;18];[18;10;19;9];[8;20;9;19];[10;21;11;22];[2;12;3;11]],11,79,12.13434244
11a_175,[[4;2;5;1];[12;4;13;3];[22;13;1;14];[14;5;15;6];[16;7;17;8];[6;15;7;16];[8;21;9;22];[18;10;19;9];[20;18;21;17];[10;20;11;19];[2;12;3;11]],11,105,13.96053431
11a_176,[[4;2;5;1];[12;4;13;3];[22;13;1;14];[14;5;15;6];[20;15;21;16];[16;8;17;7];[6;20;7;19];[18;10;19;9];[8;18;9;17];[10;21;11;22];[2;12;3;11]],11,111,14.13477883
11a_177,[[4;2;5;1];[12;4;13;3];[22;13;1;14];[14;5;15;6];[6;21;7;22];[16;8;17;7];[20;16;21;15];[18;10;19;9];[8;18;9;17];[10;20;11;19];[2;12;3;11]],11,97,13.04503717
11a_178,[[4;2;5;1];[12;4;13;3];[22;13;1;14];[14;5;15;6];[6;21;7;22];[16;8;17;7];[20;16;21;15];[8;20;9;19];[18;10;19;9];[10;18;11;17];[2;12;3;11]],11,123,14.642365
11a_179,[[4;2;5;1];[14;6;15;5];[12;3;13;4];[2;13;3;14];[16;8;17;7];[18;10;19;9];[6;16;7;15];[8;18;9;17];[22;20;1;19];[20;11;21;12];[10;21;11;22]],11,57,10.06742545
11a_180,[[4;2;5;1];[14;6;15;5];[12;3;13;4];[2;13;3;14];[16;8;17;7];[6;16;7;15];[22;18;1;17];[18;9;19;10];[8;21;9;22];[20;11;21;12];[10;19;11;20]],11,89,12.74278189
11a_181,[[4;2;5;1];[14;6;15;5];[12;3;13;4];[2;13;3;14];[18;10;19;9];[6;18;7;17];[16;8;17;7];[8;16;9;15];[22;20;1;19];[20;11;21;12];[10;21;11;22]],11,99,13.87903507
11a_182,[[4;2;5;1];[14;6;15;5];[12;3;13;4];[2;13;3;14];[22;16;1;15];[16;7;17;8];[6;21;7;22];[18;9;19;10];[20;11;21;12];[8;17;9;18];[10;19;11;20]],11,73,11.26928725
11a_183,[[4;2;5;1];[14;6;15;5];[12;3;13;4];[2;13;3;14];[22;16;1;15];[16;7;17;8];[6;21;7;22];[20;11;21;12];[8;19;9;20];[18;9;19;10];[10;17;11;18]],11,115,14.43044263
11a_184,[[4;2;5;1];[14;6;15;5];[12;3;13;4];[2;13;3;14];[22;12;1;11];[6;22;7;21];[16;7;17;8];[20;15;21;16];[18;9;19;10];[8;17;9;18];[10;19;11;20]],11,87,12.44985252
