Name,PD Notation,Volume,Determinant,Crossing Number
Borromean Rings,[[6;1;7;2];[12;8;9;7];[4;12;1;11];[10;5;11;6];[8;4;5;3];[2;9;3;10]],7.327724753,31,6
Whitehead Link,[[6;1;7;2];[10;7;5;8];[4;5;1;6];[2;10;3;9];[8;4;9;3]],3.663862377,31,5
