Name,PD Notation,Volume,Crossing Number,Determinant
8^2_16,[[3; 1; 4; 0]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [12; 5; 13; 6]; [6; 13; 7; 14]; [15; 10; 12; 11]; [11; 14; 0; 15]],5.3334895669,8,31
9^2_1,[[0; 11; 1; 12]; [12; 1; 13; 2]; [2; 13; 3; 14]; [14; 3; 15; 4]; [4; 15; 5; 16]; [16; 5; 17; 6]; [6; 9; 7; 0]; [10; 8; 11; 7]; [8; 10; 9; 17]],5.0448991629,9,31
9^2_2,[[11; 0; 12; 1]; [1; 10; 2; 11]; [17; 2; 10; 3]; [3; 16; 4; 17]; [15; 4; 16; 5]; [5; 8; 6; 9]; [13; 7; 14; 6]; [7; 13; 8; 12]; [9; 14; 0; 15]],7.2443203509,9,31
9^2_3,[[0; 7; 1; 8]; [6; 1; 7; 2]; [2; 5; 3; 6]; [12; 3; 13; 4]; [4; 13; 5; 14]; [8; 12; 9; 17]; [16; 10; 17; 9]; [10; 16; 11; 15]; [14; 0; 15; 11]],8.0855866055,9,31
9^2_4,[[0; 11; 1; 12]; [12; 1; 13; 2]; [2; 13; 3; 14]; [8; 3; 9; 4]; [4; 10; 5; 17]; [16; 6; 17; 5]; [6; 16; 7; 15]; [14; 8; 15; 7]; [10; 9; 11; 0]],5.8759180827,9,31
9^2_5,[[0; 11; 1; 12]; [12; 1; 13; 2]; [2; 13; 3; 14]; [8; 4; 9; 3]; [4; 16; 5; 15]; [16; 6; 17; 5]; [6; 10; 7; 17]; [10; 8; 11; 7]; [14; 9; 15; 0]],8.0516840589,9,31
9^2_6,[[0; 12; 1; 11]; [10; 2; 11; 1]; [2; 9; 3; 0]; [14; 3; 15; 4]; [4; 13; 5; 14]; [12; 5; 13; 6]; [6; 15; 7; 16]; [16; 7; 17; 8]; [8; 17; 9; 10]],9.1811873306,9,31
9^2_7,[[11; 0; 12; 1]; [1; 12; 2; 13]; [15; 2; 16; 3]; [3; 6; 4; 7]; [17; 5; 10; 4]; [5; 17; 6; 16]; [7; 14; 8; 15]; [13; 8; 14; 9]; [9; 10; 0; 11]],10.394372662,9,31
9^2_8,[[0; 12; 1; 11]; [10; 2; 11; 1]; [2; 9; 3; 0]; [8; 3; 9; 4]; [4; 13; 5; 14]; [16; 5; 17; 6]; [6; 15; 7; 16]; [14; 7; 15; 8]; [12; 17; 13; 10]],8.5843946543,9,31
9^2_9,[[11; 1; 12; 0]; [1; 11; 2; 10]; [17; 3; 10; 2]; [3; 9; 4; 8]; [15; 4; 16; 5]; [5; 12; 6; 13]; [13; 6; 14; 7]; [7; 14; 8; 15]; [9; 17; 0; 16]],9.4178076316,9,31
9^2_10,[[11; 0; 12; 1]; [1; 10; 2; 11]; [9; 2; 10; 3]; [3; 8; 4; 9]; [7; 4; 8; 5]; [5; 17; 6; 16]; [15; 7; 16; 6]; [17; 12; 14; 13]; [13; 14; 0; 15]],6.78475578693,9,31
