real,expected,error,set
5.986149311065674,13.234703063964844,7.248553752899170,train
16.389677047729492,19.469856262207031,3.080179214477539,train
14.504411697387695,11.282592773437500,-3.221818923950195,train
13.817081451416016,13.580215454101562,-0.236865997314453,train
14.310786247253418,14.494258880615234,0.183472633361816,train
15.174065589904785,10.825397491455078,-4.348668098449707,train
12.768074989318848,14.445953369140625,1.677878379821777,train
13.640751838684082,14.701610565185547,1.060858726501465,train
16.479948043823242,17.957988739013672,1.478040695190430,train
13.338428497314453,12.450199127197266,-0.888229370117188,train
11.432250976562500,12.957542419433594,1.525291442871094,train
17.183826446533203,15.562492370605469,-1.621334075927734,train
11.621514320373535,13.721185684204102,2.099671363830566,train
16.553771972656250,17.258974075317383,0.705202102661133,train
14.443083763122559,13.118946075439453,-1.324137687683105,train
17.259510040283203,15.215648651123047,-2.043861389160156,train
13.316099166870117,13.344190597534180,0.028091430664062,train
14.969601631164551,13.471298217773438,-1.498303413391113,train
17.286235809326172,16.297233581542969,-0.989002227783203,train
18.840576171875000,19.521591186523438,0.681015014648438,train
20.809299468994141,20.308616638183594,-0.500682830810547,train
16.234952926635742,15.689388275146484,-0.545564651489258,train
12.074711799621582,12.235853195190430,0.161141395568848,train
19.488542556762695,14.251691818237305,-5.236850738525391,train
18.686916351318359,14.318313598632812,-4.368602752685547,train
15.059089660644531,14.317687988281250,-0.741401672363281,train
17.006692886352539,15.254716873168945,-1.751976013183594,train
15.971327781677246,16.419971466064453,0.448643684387207,train
14.306361198425293,10.665285110473633,-3.641076087951660,train
16.091722488403320,14.706491470336914,-1.385231018066406,train
12.098936080932617,12.133985519409180,0.035049438476562,train
14.998768806457520,13.904136657714844,-1.094632148742676,train
15.181695938110352,12.710733413696289,-2.470962524414062,train
20.167572021484375,18.235378265380859,-1.932193756103516,train
19.172010421752930,16.569808959960938,-2.602201461791992,train
12.376615524291992,16.656627655029297,4.280012130737305,train
17.714490890502930,15.999118804931641,-1.715372085571289,train
13.268118858337402,14.809276580810547,1.541157722473145,train
20.897598266601562,19.088226318359375,-1.809371948242188,train
13.471653938293457,16.804069519042969,3.332415580749512,train
20.809299468994141,20.504455566406250,-0.304843902587891,train
17.534622192382812,15.959831237792969,-1.574790954589844,train
19.548158645629883,16.752784729003906,-2.795373916625977,train
17.691934585571289,17.993637084960938,0.301702499389648,train
13.075857162475586,13.660156250000000,0.584299087524414,train
20.228570938110352,19.378257751464844,-0.850313186645508,train
11.719475746154785,13.935577392578125,2.216101646423340,train
15.350560188293457,14.615055084228516,-0.735505104064941,train
17.955104827880859,11.381713867187500,-6.573390960693359,train
14.418684005737305,11.671377182006836,-2.747306823730469,train
14.961183547973633,16.081058502197266,1.119874954223633,train
15.763105392456055,16.737657546997070,0.974552154541016,train
15.264001846313477,10.375709533691406,-4.888292312622070,train
13.268118858337402,15.394382476806641,2.126263618469238,train
17.974809646606445,18.880462646484375,0.905652999877930,train
16.471935272216797,15.873519897460938,-0.598415374755859,train
20.567546844482422,19.858068466186523,-0.709478378295898,train
9.981141090393066,13.964384078979492,3.983242988586426,train
9.624681472778320,11.549518585205078,1.924837112426758,train
8.014861106872559,8.572572708129883,0.557711601257324,train
19.242712020874023,17.838691711425781,-1.404020309448242,train
19.022436141967773,19.619630813598633,0.597194671630859,train
18.509511947631836,18.748777389526367,0.239265441894531,train
12.456792831420898,15.426092147827148,2.969299316406250,train
15.794506072998047,18.150985717773438,2.356479644775391,train
15.840769767761230,17.108066558837891,1.267296791076660,train
16.428607940673828,14.600299835205078,-1.828308105468750,train
16.728404998779297,18.122932434082031,1.394527435302734,train
16.848079681396484,15.242778778076172,-1.605300903320312,train
18.777067184448242,16.511688232421875,-2.265378952026367,train
17.053768157958984,17.978025436401367,0.924257278442383,train
16.553504943847656,18.402952194213867,1.849447250366211,train
12.398801803588867,12.490098953247070,0.091297149658203,train
10.808323860168457,12.985723495483398,2.177399635314941,train
12.607610702514648,14.034667968750000,1.427057266235352,train
19.144966125488281,15.849788665771484,-3.295177459716797,train
15.818417549133301,14.397384643554688,-1.421032905578613,train
15.484039306640625,15.883840560913086,0.399801254272461,train
14.133464813232422,15.602479934692383,1.469015121459961,train
19.558563232421875,19.886386871337891,0.327823638916016,train
15.487353324890137,13.826362609863281,-1.660990715026855,train
15.149017333984375,14.526048660278320,-0.622968673706055,train
14.735996246337891,14.287292480468750,-0.448703765869141,train
14.859188079833984,15.861387252807617,1.002199172973633,train
17.157423019409180,16.758718490600586,-0.398704528808594,train
20.949592590332031,19.041206359863281,-1.908386230468750,train
14.059427261352539,16.321760177612305,2.262332916259766,train
21.268363952636719,20.543056488037109,-0.725307464599609,train
9.033284187316895,12.320974349975586,3.287690162658691,train
17.369657516479492,15.759990692138672,-1.609666824340820,train
13.426812171936035,16.371034622192383,2.944222450256348,train
20.338916778564453,19.740791320800781,-0.598125457763672,train
20.878505706787109,21.398941040039062,0.520435333251953,train
10.799793243408203,10.561000823974609,-0.238792419433594,train
14.307198524475098,13.857906341552734,-0.449292182922363,train
16.021591186523438,14.263589859008789,-1.758001327514648,train
10.501253128051758,10.100587844848633,-0.400665283203125,train
15.164559364318848,14.175384521484375,-0.989174842834473,train
16.379583358764648,12.522556304931641,-3.857027053833008,train
14.713294982910156,15.021961212158203,0.308666229248047,train
13.173243522644043,14.349493026733398,1.176249504089355,train
15.128748893737793,13.818933486938477,-1.309815406799316,train
13.724238395690918,13.998090744018555,0.273852348327637,train
17.629487991333008,15.004390716552734,-2.625097274780273,train
20.949211120605469,20.854211807250977,-0.094999313354492,train
16.698457717895508,13.777082443237305,-2.921375274658203,train
17.135774612426758,15.259748458862305,-1.876026153564453,train
14.265023231506348,15.850191116333008,1.585167884826660,train
5.212566852569580,5.926182270050049,0.713615417480469,train
16.600399017333984,13.656707763671875,-2.943691253662109,train
4.056860446929932,11.278436660766602,7.221576213836670,train
2.828122138977051,12.860469818115234,10.032347679138184,train
10.600696563720703,11.829074859619141,1.228378295898438,train
17.183826446533203,16.871738433837891,-0.312088012695312,train
13.889911651611328,13.030965805053711,-0.858945846557617,train
11.229974746704102,14.121423721313477,2.891448974609375,train
18.491603851318359,15.283346176147461,-3.208257675170898,train
20.151489257812500,18.991058349609375,-1.160430908203125,train
13.847924232482910,16.606365203857422,2.758440971374512,train
17.056118011474609,16.916732788085938,-0.139385223388672,train
18.208372116088867,17.873350143432617,-0.335021972656250,train
8.935856819152832,11.814519882202148,2.878663063049316,train
16.880889892578125,15.283403396606445,-1.597486495971680,train
19.579830169677734,18.038101196289062,-1.541728973388672,train
20.615724563598633,19.971355438232422,-0.644369125366211,train
11.413789749145508,13.302255630493164,1.888465881347656,train
11.875779151916504,11.385562896728516,-0.490216255187988,train
16.516124725341797,16.646926879882812,0.130802154541016,train
16.069309234619141,16.345710754394531,0.276401519775391,train
18.208372116088867,18.230949401855469,0.022577285766602,train
19.723085403442383,20.746547698974609,1.023462295532227,train
15.181710243225098,15.733453750610352,0.551743507385254,train
9.885789871215820,14.141643524169922,4.255853652954102,train
19.453155517578125,15.852567672729492,-3.600587844848633,train
15.509156227111816,13.801548004150391,-1.707608222961426,train
15.345537185668945,14.644363403320312,-0.701173782348633,train
7.373935222625732,10.482147216796875,3.108211994171143,train
12.778909683227539,15.519269943237305,2.740360260009766,train
12.721881866455078,11.940540313720703,-0.781341552734375,train
16.666515350341797,15.528356552124023,-1.138158798217773,train
16.870307922363281,13.223115921020508,-3.647192001342773,train
20.521064758300781,15.610799789428711,-4.910264968872070,train
16.543748855590820,15.406564712524414,-1.137184143066406,train
5.860539436340332,13.558465957641602,7.697926521301270,train
16.099794387817383,17.659669876098633,1.559875488281250,train
14.865456581115723,14.064159393310547,-0.801297187805176,train
19.177244186401367,16.654047012329102,-2.523197174072266,train
16.244125366210938,18.235626220703125,1.991500854492188,train
16.999057769775391,16.564128875732422,-0.434928894042969,train
14.960564613342285,15.254043579101562,0.293478965759277,train
11.702211380004883,17.545774459838867,5.843563079833984,train
16.659774780273438,13.752296447753906,-2.907478332519531,train
