real,expected,error,set
18.073358535766602,16.233503341674805,-1.839855194091797,train
14.774371147155762,13.891818046569824,-0.882553100585938,train
10.426098823547363,10.087227821350098,-0.338871002197266,train
17.758651733398438,17.832345962524414,0.073694229125977,train
14.621177673339844,15.169880867004395,0.548703193664551,train
15.815361022949219,16.222482681274414,0.407121658325195,train
13.394044876098633,12.271986007690430,-1.122058868408203,train
14.258051872253418,14.583892822265625,0.325840950012207,train
19.426839828491211,19.364141464233398,-0.062698364257812,train
13.366332054138184,12.211867332458496,-1.154464721679688,train
17.279533386230469,17.665128707885742,0.385595321655273,train
19.252143859863281,19.029756546020508,-0.222387313842773,train
14.344581604003906,16.994634628295898,2.650053024291992,train
9.372593879699707,8.931628227233887,-0.440965652465820,train
12.725414276123047,13.803328514099121,1.077914237976074,train
14.596966743469238,14.811377525329590,0.214410781860352,train
14.987257957458496,15.231452941894531,0.244194984436035,train
20.844842910766602,20.029998779296875,-0.814844131469727,train
11.630728721618652,14.383049964904785,2.752321243286133,train
20.843381881713867,20.049642562866211,-0.793739318847656,train
12.810882568359375,14.650182723999023,1.839300155639648,train
19.075571060180664,18.628141403198242,-0.447429656982422,train
16.265211105346680,17.018438339233398,0.753227233886719,train
18.581655502319336,17.557775497436523,-1.023880004882812,train
14.509209632873535,15.763689041137695,1.254479408264160,train
12.540295600891113,10.790329933166504,-1.749965667724609,train
18.615182876586914,18.994638442993164,0.379455566406250,train
9.823760986328125,12.106753349304199,2.282992362976074,train
15.551920890808105,19.524026870727539,3.972105979919434,train
17.338212966918945,17.624816894531250,0.286603927612305,train
13.608420372009277,12.900427818298340,-0.707992553710938,train
14.348354339599609,13.635849952697754,-0.712504386901855,train
19.163646697998047,18.896572113037109,-0.267074584960938,train
15.487353324890137,14.112288475036621,-1.375064849853516,train
8.469809532165527,9.197911262512207,0.728101730346680,train
13.964433670043945,13.571895599365234,-0.392538070678711,train
17.526994705200195,17.528760910034180,0.001766204833984,train
8.390937805175781,8.609688758850098,0.218750953674316,train
15.397157669067383,16.307352066040039,0.910194396972656,train
15.695375442504883,15.697351455688477,0.001976013183594,train
9.978330612182617,11.787360191345215,1.809029579162598,train
20.006460189819336,19.497114181518555,-0.509346008300781,train
12.326556205749512,12.217076301574707,-0.109479904174805,train
9.806684494018555,11.551049232482910,1.744364738464355,train
18.957834243774414,19.003114700317383,0.045280456542969,train
18.514425277709961,18.619915008544922,0.105489730834961,train
19.672803878784180,19.167083740234375,-0.505720138549805,train
15.441035270690918,15.554097175598145,0.113061904907227,train
16.309320449829102,15.891501426696777,-0.417819023132324,train
9.730495452880859,10.481163024902344,0.750667572021484,train
16.500022888183594,14.866131782531738,-1.633891105651855,train
16.261240005493164,16.089630126953125,-0.171609878540039,train
17.811037063598633,16.999414443969727,-0.811622619628906,train
15.462417602539062,15.478367805480957,0.015950202941895,train
15.115873336791992,14.781043052673340,-0.334830284118652,train
16.402202606201172,16.430242538452148,0.028039932250977,train
16.502681732177734,16.512853622436523,0.010171890258789,train
9.768486022949219,8.300157546997070,-1.468328475952148,train
9.903515815734863,9.209861755371094,-0.693654060363770,train
15.138072013854980,14.294503211975098,-0.843568801879883,train
19.638450622558594,19.848386764526367,0.209936141967773,train
12.314989089965820,12.263827323913574,-0.051161766052246,train
19.453496932983398,18.627504348754883,-0.825992584228516,train
14.533744812011719,14.865120887756348,0.331376075744629,train
16.507219314575195,15.755793571472168,-0.751425743103027,train
15.955170631408691,15.928841590881348,-0.026329040527344,train
18.590948104858398,18.059278488159180,-0.531669616699219,train
16.773406982421875,15.356253623962402,-1.417153358459473,train
15.065955162048340,13.831012725830078,-1.234942436218262,train
18.061157226562500,17.111478805541992,-0.949678421020508,train
20.021677017211914,18.740690231323242,-1.280986785888672,train
14.253731727600098,12.441551208496094,-1.812180519104004,train
15.185501098632812,16.071067810058594,0.885566711425781,train
15.320037841796875,16.775981903076172,1.455944061279297,train
16.242673873901367,15.432106971740723,-0.810566902160645,train
